City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Arlit,NE,2023-01-28 22:25:41,18.7369,7.3853,64.45,9,40,7.67
123,Kerman,IR,2023-01-28 22:25:41,30.2832,57.0788,21.06,100,1,4.61
124,Evensk,RU,2023-01-28 22:25:41,61.95,159.2333,15.93,92,89,15.95
125,Medicine Hat,CA,2023-01-28 22:25:16,50.0501,-110.6683,8.73,65,75,11.5
126,Yellowknife,CA,2023-01-28 22:22:55,62.456,-114.3525,-10.68,70,0,11.5
127,Aldan,RU,2023-01-28 22:25:42,58.6031,125.3894,-11.45,98,100,4.18
128,Airai,TL,2023-01-28 22:25:42,-8.9266,125.4092,61.09,90,81,1.63
129,Fortuna,US,2023-01-28 22:25:42,40.5982,-124.1573,50.67,78,100,12.66
130,Padang,ID,2023-01-28 22:25:43,-0.9492,100.3543,76.01,86,100,5.06
131,Bambous Virieux,MU,2023-01-28 22:25:43,-20.3428,57.7575,77.22,94,75,3.44
132,Hilo,US,2023-01-28 22:25:43,19.7297,-155.09,72.28,88,100,6.91
133,Omboue,GA,2023-01-28 22:26:44,-1.5746,9.2618,77.67,81,78,4.14
134,Norman Wells,CA,2023-01-28 22:26:44,65.282,-126.8329,-12.96,77,20,14.97
135,New Norfolk,AU,2023-01-28 22:26:44,-42.7826,147.0587,66.92,45,66,4.0
136,Hovd,MN,2023-01-28 22:26:45,48.0056,91.6419,-1.1,79,4,2.24
137,Saint George,US,2023-01-28 22:23:58,37.1041,-113.5841,55.94,36,0,4.61
138,Caruray,PH,2023-01-28 22:26:45,10.3094,119.0128,77.2,86,64,14.45
139,Karasburg,NA,2023-01-28 22:26:45,-28.0167,18.75,70.09,47,1,13.56
140,Bathsheba,BB,2023-01-28 22:26:46,13.2167,-59.5167,77.61,65,20,8.05
141,Mitsamiouli,KM,2023-01-28 22:26:46,-11.3847,43.2844,80.38,80,52,8.5
142,Orchard Homes,US,2023-01-28 22:24:25,46.8633,-114.0484,16.59,59,75,14.97
143,Ibarra,EC,2023-01-28 22:26:46,0.35,-78.1167,67.77,65,22,3.13
