City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Aquiraz,BR,-3.9014,-38.3911,89.69,68,34,11.65,scattered clouds
169,Kingman,US,35.1894,-114.053,49.75,33,0,17.0,clear sky
170,Kalach-Na-Donu,RU,48.691,43.5264,31.87,99,100,4.38,light snow
171,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,16.11,few clouds
172,Bethel,US,41.3712,-73.414,36.03,47,0,10.36,clear sky
173,Chirongui,YT,-12.9319,45.1483,82.33,78,93,1.79,light rain
174,Wanning,CN,18.8003,110.3967,71.11,95,95,8.21,overcast clouds
175,Coihaique,CL,-45.5752,-72.0662,68.61,59,40,9.22,scattered clouds
176,Guerrero Negro,MX,27.9769,-114.0611,60.01,48,19,1.1,few clouds
177,Sechura,PE,-5.5569,-80.8222,80.22,58,93,2.51,overcast clouds
178,Karratha,AU,-20.7377,116.8463,86.41,63,38,3.62,scattered clouds
179,Dikson,RU,73.5069,80.5464,3.34,93,100,7.54,overcast clouds
180,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,39,7.0,light rain
181,Imbituba,BR,-28.24,-48.6703,82.17,70,3,8.55,clear sky
182,Pecos,US,31.4229,-103.4932,40.03,80,100,11.5,overcast clouds
183,Necochea,AR,-38.5473,-58.7368,74.35,62,79,10.58,broken clouds
184,Koumac,NC,-20.5667,164.2833,77.56,78,90,5.03,overcast clouds
185,Mendi,PG,-6.1761,143.6513,54.81,97,100,2.42,overcast clouds
186,Saint George,US,37.1041,-113.5841,28.99,69,0,0.0,clear sky
187,Tilichiki,RU,60.4667,166.1,-7.85,98,47,8.19,scattered clouds
188,Muzhi,RU,65.3667,64.6667,0.99,99,44,3.78,scattered clouds
189,Kavieng,PG,-2.5744,150.7967,81.86,77,97,6.51,light rain
190,Georgetown,MY,5.4112,100.3354,78.73,94,20,0.0,few clouds
191,Kondinskoye,RU,59.6481,67.41,11.05,97,94,5.7,overcast clouds
192,Adana,TR,36.985,35.2881,48.72,61,20,5.75,few clouds
193,Kodiak,US,57.79,-152.4072,24.31,93,0,5.75,clear sky
194,Nyandoma,RU,61.669,40.1991,22.91,96,100,3.6,overcast clouds
195,Mezen,RU,65.8522,44.24,19.09,96,99,6.76,overcast clouds
196,Tiksi,RU,71.6872,128.8694,-19.68,98,99,7.65,overcast clouds
197,Bonavista,CA,48.6499,-53.1147,17.87,60,83,14.05,broken clouds
198,Salantai,LT,56.0667,21.5667,33.3,83,80,11.07,broken clouds
199,Klaksvik,FO,62.2266,-6.589,41.92,98,100,26.51,moderate rain
200,Port Pirie,AU,-33.1833,138.0167,61.92,61,100,19.51,light rain
201,Cidreira,BR,-30.1811,-50.2056,81.21,69,8,11.54,clear sky
202,Kesinga,IN,20.2,83.2333,64.2,17,88,2.66,overcast clouds
203,Kankon,IN,15.0167,74.0167,80.4,60,100,7.85,light rain
204,Marsh Harbour,BS,26.5412,-77.0636,75.45,69,0,6.51,clear sky
205,Manavgat,TR,36.7867,31.4431,50.29,40,0,5.48,clear sky
206,Mehamn,NO,71.0357,27.8492,24.75,93,40,12.66,scattered clouds
207,Kahului,US,20.8947,-156.47,74.84,88,20,3.0,few clouds
208,Longyearbyen,SJ,78.2186,15.6401,8.44,72,75,19.57,broken clouds
209,Floro,NO,61.5996,5.0328,33.96,69,0,11.5,clear sky
210,Carnarvon,AU,-24.8667,113.6333,81.41,68,20,8.57,few clouds
211,Chokurdakh,RU,70.6333,147.9167,-15.65,100,97,6.22,overcast clouds
212,Vuktyl,RU,63.8567,57.3094,18.41,93,99,10.07,light snow
213,Lavrentiya,RU,65.5833,-171.0,2.52,92,45,9.06,scattered clouds
214,Constantine,DZ,36.365,6.6147,49.41,66,75,9.22,broken clouds
215,Pacific Grove,US,36.6177,-121.9166,55.65,65,0,5.75,clear sky
216,Coos Bay,US,43.3665,-124.2179,48.15,93,0,8.05,clear sky
217,Vanderhoof,CA,54.0166,-124.0198,22.5,97,100,0.4,overcast clouds
218,Denpasar,ID,-8.65,115.2167,80.26,88,40,9.22,scattered clouds
219,Mukono,UG,0.3533,32.7553,78.55,69,28,4.0,scattered clouds
220,Shache,CN,38.4167,77.2406,21.29,85,65,3.47,broken clouds
221,Atherton,GB,53.5237,-2.4935,52.29,75,99,7.0,overcast clouds
222,Saint-Pierre,RE,-21.3393,55.4781,80.28,89,75,17.27,broken clouds
223,Aykhal,RU,66.0,111.5,-22.41,100,81,4.68,broken clouds
224,Bahia Honda,CU,22.9036,-83.1592,83.03,55,8,8.28,clear sky
225,Kruisfontein,ZA,-34.0033,24.7314,68.81,69,1,9.15,clear sky
226,Udachnyy,RU,66.4167,112.4,-18.18,98,100,3.44,overcast clouds
227,Grindavik,IS,63.8424,-22.4338,40.95,87,75,17.27,broken clouds
228,Misawa,JP,40.6836,141.3597,22.6,78,68,11.52,broken clouds
229,Lanigan,CA,51.8501,-105.0344,-23.91,96,12,3.33,few clouds
230,Padang,ID,-0.9492,100.3543,77.05,83,97,4.07,overcast clouds
231,Nalut,LY,30.3333,10.85,56.34,31,96,10.67,overcast clouds
232,Dawson,US,31.7735,-84.4466,65.62,81,97,1.14,overcast clouds
233,Xianyang,CN,34.3378,108.7026,31.24,43,20,4.47,few clouds
234,Puerto Ayacucho,VE,5.6639,-67.6236,93.85,33,5,7.63,clear sky
235,Port Hardy,CA,50.6996,-127.4199,42.98,75,75,26.46,broken clouds
236,Omboue,GA,-1.5746,9.2618,82.45,79,48,9.19,scattered clouds
237,Mayumba,GA,-3.432,10.6554,81.73,80,23,10.22,few clouds
238,Mahajanga,MG,-15.7167,46.3167,80.62,89,40,5.75,thunderstorm
239,Pangnirtung,CA,66.1451,-65.7125,-18.4,76,100,6.91,light snow
240,Luanda,AO,-8.8368,13.2343,84.2,74,20,18.41,few clouds
241,Carutapera,BR,-1.195,-46.02,72.41,98,100,5.01,overcast clouds
242,Tianpeng,CN,30.9866,103.9393,48.67,67,99,3.71,overcast clouds
243,Kirovsk,UA,48.6375,38.6428,31.87,76,99,8.12,overcast clouds
244,Srivardhan,IN,18.0333,73.0167,77.04,58,11,11.54,few clouds
245,Glasgow,GB,55.8652,-4.2576,51.22,78,100,18.41,overcast clouds
246,Taybad,IR,34.74,60.7756,51.84,69,3,5.3,clear sky
247,Ivanivka,UA,46.7208,34.553,37.04,71,94,7.65,overcast clouds
248,Surin,TH,14.8818,103.4936,83.26,53,83,3.47,broken clouds
249,Oranjemund,NA,-28.55,16.4333,65.34,75,0,21.59,clear sky
250,Bulgan,MN,48.8125,103.5347,-3.46,88,27,4.18,scattered clouds
251,Lata,PT,40.1629,-8.3327,59.81,60,0,2.82,clear sky
252,Esil,KZ,51.9556,66.4042,2.34,87,100,4.41,overcast clouds
253,Bud,US,39.447,-86.1758,34.93,55,60,11.63,broken clouds
254,Ialibu,PG,-6.2821,143.9935,56.68,93,100,2.59,overcast clouds
255,Roma,US,43.2128,-75.4557,28.81,60,100,7.0,overcast clouds
256,Serdobsk,RU,52.4586,44.2169,26.53,96,100,10.78,light snow
257,Vila Do Maio,CV,15.1333,-23.2167,75.99,74,61,18.86,broken clouds
258,Nemuro,JP,43.3236,145.575,15.71,72,32,19.33,scattered clouds
259,Taoudenni,ML,22.6783,-3.9836,68.74,11,45,15.32,scattered clouds
260,Yulara,AU,-25.2406,130.9889,69.93,35,0,10.49,clear sky
261,Alpinopolis,BR,-20.8636,-46.3881,76.86,71,100,4.72,overcast clouds
262,Nador,MA,35.174,-2.9287,57.27,76,75,9.22,broken clouds
263,Narsaq,GL,60.9167,-46.05,14.22,94,53,3.62,broken clouds
264,Kirakira,SB,-10.4544,161.9205,78.53,84,89,4.07,overcast clouds
265,Imeni Poliny Osipenko,RU,52.4201,136.4853,-31.49,100,83,1.03,broken clouds
266,Buala,SB,-8.145,159.5921,78.62,85,95,4.25,moderate rain
267,Payson,US,40.0444,-111.7321,35.46,70,19,1.66,few clouds
268,Nouakchott,MR,18.0858,-15.9785,87.73,53,19,17.56,few clouds
269,Hede,CN,33.7681,120.2517,34.45,60,100,4.23,overcast clouds
270,Salinas,US,36.6777,-121.6555,56.07,57,0,23.02,clear sky
271,Lebu,CL,-37.6167,-73.65,63.99,63,0,22.79,clear sky
272,Okhotsk,RU,59.3833,143.3,-4.14,93,99,12.64,overcast clouds
273,Mastic Beach,US,40.7668,-72.8521,38.98,51,0,8.05,clear sky
274,Mayo,US,38.8876,-76.5119,40.21,53,100,5.75,overcast clouds
275,Cheney,US,47.4874,-117.5758,25.0,95,75,4.61,broken clouds
276,Camacha,PT,33.0833,-16.3333,60.22,51,20,9.22,few clouds
277,Buta,CD,2.7858,24.73,75.52,75,36,3.58,scattered clouds
278,Tura,IN,25.5198,90.2201,60.46,43,17,3.0,few clouds
279,Haicheng,CN,40.8516,122.7475,20.46,32,100,3.33,overcast clouds
280,Taiyuan,CN,37.8694,112.5603,21.06,35,0,6.71,clear sky
281,Alindao,CF,5.0267,21.2088,86.86,30,77,3.38,broken clouds
282,Rio Grande Da Serra,BR,-23.7442,-46.3983,84.42,68,64,5.53,broken clouds
283,Juegang,CN,32.3174,121.1855,40.98,68,100,6.89,overcast clouds
284,Brazzaville,CG,-4.2658,15.2832,86.36,62,20,6.91,few clouds
285,Saint-Georges,GD,12.0564,-61.7485,83.88,65,20,19.57,few clouds
286,Hambantota,LK,6.1241,81.1185,76.57,89,98,10.11,overcast clouds
287,Banda Aceh,ID,5.5577,95.3222,78.19,84,60,5.48,broken clouds
288,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,77,75,13.18,broken clouds
289,Victoria,HK,22.2855,114.1577,66.38,83,83,15.01,broken clouds
290,Soyo,AO,-6.1349,12.3689,83.1,79,46,12.08,scattered clouds
291,Talnakh,RU,69.4865,88.3972,13.21,96,100,8.57,light snow
292,Fort Nelson,CA,58.8053,-122.7002,-14.06,84,40,1.99,scattered clouds
293,Havelock,US,34.8791,-76.9013,42.75,90,100,11.5,light rain
294,Bardiyah,LY,31.7561,25.0865,56.17,56,58,8.5,broken clouds
295,Zemio,CF,5.0314,25.1361,84.7,20,30,3.6,scattered clouds
296,Jacobina,BR,-11.1806,-40.5183,92.93,30,10,8.41,clear sky
297,Bonfim,BR,3.0833,-59.95,89.78,42,94,6.11,overcast clouds
298,Mehriz,IR,31.5917,54.4318,50.5,48,49,4.23,scattered clouds
299,Boende,CD,-0.2167,20.8667,81.61,56,57,2.66,light rain
300,Kaznejov,CZ,49.8931,13.383,36.46,89,100,8.55,overcast clouds
301,Bahia Blanca,AR,-38.7196,-62.2724,86.29,34,1,12.86,clear sky
302,Skibbereen,IE,51.55,-9.2667,52.11,78,100,19.66,overcast clouds
303,Sitka,US,57.0531,-135.33,44.49,61,100,10.36,overcast clouds
304,Otradnoye,RU,59.7775,30.8181,30.25,98,100,2.57,light snow
305,Ridgecrest,US,35.6225,-117.6709,45.64,44,20,0.0,few clouds
306,Tam Ky,VN,15.5667,108.4833,71.96,95,61,2.33,broken clouds
307,Deming,US,32.2687,-107.7586,39.09,52,0,4.61,clear sky
308,Lompoc,US,34.6391,-120.4579,56.93,64,100,15.01,overcast clouds
309,Sitrah,BH,26.1547,50.6206,68.0,78,38,17.27,scattered clouds
310,Maloy,NO,61.9353,5.1136,33.73,75,100,11.07,overcast clouds
311,Yurimaguas,PE,-5.9,-76.0833,84.36,74,40,3.44,scattered clouds
312,Tashla,RU,51.7716,52.7427,15.89,87,100,6.8,overcast clouds
313,Raghunathpur,IN,23.55,86.6667,61.54,31,81,5.7,broken clouds
314,Tuatapere,NZ,-46.1333,167.6833,62.64,97,100,3.44,overcast clouds
315,Namibe,AO,-15.1961,12.1522,75.11,74,71,10.42,broken clouds
316,Bende,NG,5.5572,7.6368,95.9,29,10,2.68,clear sky
317,Anadyr,RU,64.75,177.4833,19.9,79,20,8.95,few clouds
318,Lagoa,PT,39.05,-27.9833,57.58,77,7,18.61,clear sky
319,San Juan,AR,-31.5375,-68.5364,82.85,40,19,4.18,few clouds
320,Brigantine,US,39.4101,-74.3646,39.02,40,0,8.99,clear sky
321,Garissa,KE,-0.4536,39.6401,90.97,30,44,5.06,scattered clouds
322,Yar-Sale,RU,66.8333,70.8333,5.45,95,8,8.21,clear sky
323,Riyadh,SA,24.6877,46.7219,66.34,32,0,11.36,clear sky
324,Mitu,CO,1.1983,-70.1733,91.15,34,80,4.54,broken clouds
325,Alexandria,EG,31.2156,29.9553,58.96,63,40,8.05,scattered clouds
326,Aseri,EE,59.4506,26.8675,28.06,91,100,14.05,light snow
327,Anuradhapura,LK,8.3565,80.4173,72.63,97,100,5.3,overcast clouds
328,Souillac,MU,-20.5167,57.5167,80.98,83,40,3.44,light rain
329,Ossora,RU,59.2353,163.0719,1.15,86,47,6.55,scattered clouds
330,Kaitangata,NZ,-46.2817,169.8464,61.77,93,100,3.31,overcast clouds
331,Praya,CV,14.9215,-23.5087,75.74,57,75,24.16,broken clouds
332,Najran,SA,17.4924,44.1277,77.65,33,0,0.69,clear sky
333,Awbari,LY,26.5921,12.7805,58.57,31,100,10.63,overcast clouds
334,Nizwa,OM,22.9333,57.5333,70.74,36,1,3.33,clear sky
335,Gat,IL,31.61,34.7642,55.08,100,96,8.81,overcast clouds
336,Damietta,EG,31.4165,31.8133,57.09,56,75,10.69,broken clouds
337,Katobu,ID,-4.9408,122.5276,73.96,96,100,3.33,overcast clouds
338,Yongchang,CN,30.0381,119.7317,39.09,88,100,2.89,overcast clouds
339,Cabo Rojo,PR,18.0866,-67.1457,85.24,66,14,3.0,few clouds
340,Batagay-Alyta,RU,67.8006,130.4114,-22.74,99,100,0.4,overcast clouds
341,Sakaiminato,JP,35.55,133.2333,35.58,93,75,4.61,broken clouds
342,Morondava,MG,-20.2833,44.2833,81.12,80,87,5.91,overcast clouds
343,Bykovo,RU,55.6361,38.0803,30.61,86,75,11.18,broken clouds
344,Boyolangu,ID,-8.1181,111.8935,74.01,93,100,8.5,overcast clouds
345,Ancud,CL,-41.8697,-73.8203,63.39,63,7,8.32,clear sky
346,Altamirano,MX,16.8833,-92.15,66.13,50,23,4.72,few clouds
347,Laguna De Perlas,NI,12.3429,-83.6712,80.69,68,3,14.81,clear sky
